pair_id,condition,score
0,clean,1
0,random_4,1
0,random_8,1
0,fgsm_4,1
0,fgsm_8,1
0,pgd_4,3
0,pgd_8,3
1,clean,1
1,random_4,1
1,random_8,1
1,fgsm_4,1
1,fgsm_8,1
1,pgd_4,2
1,pgd_8,4
2,clean,1
2,random_4,1
2,random_8,1
2,fgsm_4,1
2,fgsm_8,1
2,pgd_4,4
2,pgd_8,3
3,clean,4
3,random_4,4
3,random_8,4
3,fgsm_4,4
3,fgsm_8,4
3,pgd_4,4
3,pgd_8,3
4,clean,4
4,random_4,4
4,random_8,4
4,fgsm_4,4
4,fgsm_8,4
4,pgd_4,4
4,pgd_8,4
5,clean,4
5,random_4,4
5,random_8,4
5,fgsm_4,4
5,fgsm_8,4
5,pgd_4,3
5,pgd_8,3
6,clean,4
6,random_4,4
6,random_8,4
6,fgsm_4,4
6,fgsm_8,4
6,pgd_4,4
6,pgd_8,4
7,clean,4
7,random_4,4
7,random_8,4
7,fgsm_4,4
7,fgsm_8,4
7,pgd_4,4
7,pgd_8,4
8,clean,4
8,random_4,4
8,random_8,4
8,fgsm_4,4
8,fgsm_8,4
8,pgd_4,4
8,pgd_8,4
9,clean,4
9,random_4,4
9,random_8,4
9,fgsm_4,4
9,fgsm_8,4
9,pgd_4,4
9,pgd_8,4
10,clean,4
10,random_4,4
10,random_8,4
10,fgsm_4,4
10,fgsm_8,4
10,pgd_4,4
10,pgd_8,4
11,clean,4
11,random_4,4
11,random_8,4
11,fgsm_4,4
11,fgsm_8,4
11,pgd_4,4
11,pgd_8,4
12,clean,4
12,random_4,4
12,random_8,4
12,fgsm_4,4
12,fgsm_8,4
12,pgd_4,4
12,pgd_8,4
13,clean,4
13,random_4,4
13,random_8,4
13,fgsm_4,4
13,fgsm_8,4
13,pgd_4,4
13,pgd_8,4
14,clean,4
14,random_4,4
14,random_8,4
14,fgsm_4,4
14,fgsm_8,4
14,pgd_4,4
14,pgd_8,4
15,clean,4
15,random_4,4
15,random_8,4
15,fgsm_4,4
15,fgsm_8,4
15,pgd_4,4
15,pgd_8,3
16,clean,4
16,random_4,4
16,random_8,4
16,fgsm_4,4
16,fgsm_8,4
16,pgd_4,4
16,pgd_8,4
17,clean,4
17,random_4,4
17,random_8,4
17,fgsm_4,4
17,fgsm_8,4
17,pgd_4,4
17,pgd_8,3
18,clean,4
18,random_4,4
18,random_8,4
18,fgsm_4,4
18,fgsm_8,4
18,pgd_4,4
18,pgd_8,4
19,clean,4
19,random_4,4
19,random_8,4
19,fgsm_4,4
19,fgsm_8,4
19,pgd_4,4
19,pgd_8,4
20,clean,4
20,random_4,4
20,random_8,4
20,fgsm_4,4
20,fgsm_8,4
20,pgd_4,4
20,pgd_8,4
21,clean,4
21,random_4,4
21,random_8,4
21,fgsm_4,4
21,fgsm_8,4
21,pgd_4,4
21,pgd_8,4
22,clean,4
22,random_4,4
22,random_8,4
22,fgsm_4,4
22,fgsm_8,4
22,pgd_4,4
22,pgd_8,4
23,clean,4
23,random_4,4
23,random_8,4
23,fgsm_4,4
23,fgsm_8,4
23,pgd_4,4
23,pgd_8,4
24,clean,4
24,random_4,4
24,random_8,4
24,fgsm_4,4
24,fgsm_8,4
24,pgd_4,4
24,pgd_8,4
25,clean,4
25,random_4,4
25,random_8,4
25,fgsm_4,4
25,fgsm_8,4
25,pgd_4,4
25,pgd_8,4
26,clean,4
26,random_4,4
26,random_8,4
26,fgsm_4,4
26,fgsm_8,4
26,pgd_4,4
26,pgd_8,4
27,clean,4
27,random_4,4
27,random_8,4
27,fgsm_4,4
27,fgsm_8,4
27,pgd_4,4
27,pgd_8,3
28,clean,4
28,random_4,4
28,random_8,4
28,fgsm_4,4
28,fgsm_8,4
28,pgd_4,4
28,pgd_8,3
29,clean,4
29,random_4,4
29,random_8,4
29,fgsm_4,4
29,fgsm_8,4
29,pgd_4,3
29,pgd_8,4
30,clean,4
30,random_4,4
30,random_8,4
30,fgsm_4,4
30,fgsm_8,4
30,pgd_4,4
30,pgd_8,4
31,clean,4
31,random_4,4
31,random_8,4
31,fgsm_4,4
31,fgsm_8,4
31,pgd_4,3
31,pgd_8,3
32,clean,4
32,random_4,4
32,random_8,4
32,fgsm_4,4
32,fgsm_8,4
32,pgd_4,4
32,pgd_8,3
33,clean,4
33,random_4,4
33,random_8,4
33,fgsm_4,4
33,fgsm_8,4
33,pgd_4,4
33,pgd_8,2
34,clean,4
34,random_4,4
34,random_8,4
34,fgsm_4,4
34,fgsm_8,4
34,pgd_4,4
34,pgd_8,4
35,clean,4
35,random_4,4
35,random_8,4
35,fgsm_4,4
35,fgsm_8,4
35,pgd_4,4
35,pgd_8,1
36,clean,4
36,random_4,4
36,random_8,4
36,fgsm_4,4
36,fgsm_8,4
36,pgd_4,4
36,pgd_8,4
37,clean,4
37,random_4,4
37,random_8,4
37,fgsm_4,4
37,fgsm_8,4
37,pgd_4,4
37,pgd_8,4
38,clean,4
38,random_4,4
38,random_8,4
38,fgsm_4,4
38,fgsm_8,4
38,pgd_4,4
38,pgd_8,4
39,clean,4
39,random_4,4
39,random_8,4
39,fgsm_4,4
39,fgsm_8,4
39,pgd_4,1
39,pgd_8,1
40,clean,4
40,random_4,4
40,random_8,4
40,fgsm_4,4
40,fgsm_8,4
40,pgd_4,4
40,pgd_8,4
41,clean,4
41,random_4,1
41,random_8,4
41,fgsm_4,4
41,fgsm_8,4
41,pgd_4,4
41,pgd_8,4
42,clean,4
42,random_4,4
42,random_8,4
42,fgsm_4,4
42,fgsm_8,4
42,pgd_4,4
42,pgd_8,1
43,clean,4
43,random_4,4
43,random_8,4
43,fgsm_4,4
43,fgsm_8,4
43,pgd_4,4
43,pgd_8,4
44,clean,4
44,random_4,4
44,random_8,4
44,fgsm_4,4
44,fgsm_8,4
44,pgd_4,4
44,pgd_8,4
